,agent_call_AT,agent_call_flop,agent_call_top_pair,agent_raise_AT,agent_raise_aggressive,background_agent_v1,background_agent_v2,player_call,player_raise,player_random
,955,958,997,967,967,0,1003,1125,878,2150
,948,952,961,967,965,0,0,992,952,3263
,977,950,960,964,965,0,1948,882,1274,0
,979,948,976,968,967,1899,0,933,1108,0
,987,982,955,964,964,1928,0,990,1088,0
,963,945,975,967,964,0,0,987,950,2203
,963,949,961,967,967,1117,2244,872,945,0
,952,954,950,967,965,2065,1019,998,1130,0
,960,957,972,965,964,0,3202,981,868,0
,956,996,952,964,964,0,3127,1096,940,0
,994,976,964,964,964,1974,0,876,1156,0
,958,943,958,967,967,0,2035,1033,897,1207
,964,942,973,964,962,0,3041,1006,1148,0
,960,996,955,967,967,2963,0,1183,936,0
,959,973,969,967,970,3000,0,1036,1039,0
,979,949,965,968,967,1136,1987,1024,973,0
,959,953,967,964,965,0,2416,991,870,0
,952,981,983,964,964,0,0,972,1069,3100
,947,988,978,961,964,0,0,929,1132,3101
,940,966,952,966,964,0,0,1035,991,3176
,938,953,967,964,964,3145,0,1039,987,0
,979,941,967,967,967,2264,0,904,998,0
,975,977,965,968,970,2139,1067,876,997,0
,947,977,966,967,966,0,0,840,1050,2499
,944,952,950,964,966,0,2128,1022,1040,0
,953,972,988,964,965,2966,0,1052,1128,0
,949,987,983,963,964,0,3061,872,1219,0
,949,996,973,965,964,2479,0,896,872,0
,948,952,973,964,966,0,0,961,917,3319
,942,972,943,967,967,3028,0,951,1131,0
,994,999,970,967,968,888,2291,960,958,0
,990,945,991,964,964,1999,0,1138,1002,0
,931,947,963,969,967,2069,1058,972,1088,0
,977,963,980,965,964,0,2140,999,900,0
,975,977,971,967,967,2032,977,906,1214,0
,947,982,986,964,964,3105,0,1113,922,0
,990,955,958,967,964,0,2033,1172,886,0
,958,966,956,964,967,0,2380,878,998,0
,950,1003,961,966,964,2452,0,880,895,0
,973,982,961,966,967,0,2279,1061,864,0
,957,978,951,967,969,1945,0,1030,1034,0
,1011,955,970,964,964,1987,0,862,1248,0
,1003,992,954,967,967,0,0,1034,854,2486
,953,951,971,964,964,2036,0,1020,1053,0
,952,955,962,964,964,0,1987,1223,966,0
,970,967,953,964,964,0,0,974,1066,3142
,995,986,977,964,964,0,2164,858,1168,0
,948,972,962,963,964,0,2386,854,1013,0
,954,978,964,964,964,2163,0,943,1042,0
,970,988,987,967,967,0,2059,955,950,1135
,956,946,988,964,966,1934,0,1137,1045,0
,932,959,956,967,970,0,2123,876,1004,1164
,968,1051,976,964,964,0,2062,850,1151,0
,965,965,958,965,966,2218,0,914,1055,0
,1008,979,971,963,964,0,0,975,884,3247
,1008,945,965,964,964,0,2186,901,1003,0
,957,982,970,961,961,0,2965,1012,1180,0
,1016,972,958,963,961,0,3224,1011,895,0
,989,961,971,967,967,998,2142,942,1055,0
,960,969,965,965,964,0,2036,1137,1039,0
,958,987,963,964,964,2017,0,977,1116,0
,960,940,982,968,970,2040,0,872,1081,0
,1000,955,966,964,964,0,2289,965,878,0
,986,954,955,964,964,0,2089,1174,856,0
,954,1021,962,967,964,0,0,908,1028,3196
,995,1002,967,961,964,0,2335,890,878,0
,959,960,969,967,967,1076,2048,1024,1030,0
,974,987,980,964,964,2763,0,900,968,0
,992,948,963,967,964,0,3074,973,1119,0
,956,992,958,964,964,0,2108,878,1045,0
,950,974,966,970,970,1344,0,936,900,1356
,974,946,959,964,967,3233,0,902,1051,0
,976,946,972,964,962,2142,0,977,1054,0
